student_id,p1_submissions,p1_vpl_reviewed,p1_vpl,p2_vpl,p2_deepseek,p3_vpl,p3_instructor_sheet,p3_deepseek_run1,p3_deepseek_run2,p3_deepseek_run3,p3_deepseek_run4,p3_deepseek_run5,p3_gemini,mock1,p1_final,mock2,p2_final,mock3,p3_final,past_exams_practice
E01,7.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,95.0,100.0,93.0,90.0,75.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0
E02,12.0,15.0,0.0,,,,,,,,,,,,15.0,,,,,
E03,17.0,100.0,100.0,,,,,,,,,,,100.0,100.0,,,,,
E04,42.0,55.0,50.0,0.0,20.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,63.0,100.0,60.0,100.0,15.0,20.0,60.0,
E05,90.0,50.0,100.0,0.0,4.0,50.0,70.0,55.0,55.0,55.0,55.0,55.0,36.0,100.0,50.0,100.0,5.0,100.0,70.0,100.0
E06,9.0,100.0,100.0,100.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,300.0
E07,,,,0.0,2.0,,,,,,,,,0.0,,100.0,0.0,,,
E08,24.0,100.0,100.0,74.15,73.0,50.0,80.0,75.0,75.0,75.0,75.0,75.0,82.0,100.0,100.0,40.0,75.0,20.0,80.0,50.0
E09,5.0,10.0,0.0,0.0,50.0,,,,,,,,,,10.0,,10.0,,,
E10,20.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,
E11,45.0,55.0,50.0,100.0,96.0,50.0,70.0,70.0,75.0,75.0,75.0,75.0,75.0,100.0,55.0,60.0,95.0,20.0,70.0,0.0
E12,48.0,20.0,0.0,46.65,75.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,20.0,100.0,60.0,100.0,100.0,50.0
E13,28.0,100.0,100.0,0.0,37.0,50.0,70.0,75.0,73.0,73.0,73.0,75.0,51.0,,100.0,0.0,20.0,20.0,70.0,
E14,4.0,90.0,100.0,100.0,88.0,100.0,100.0,100.0,95.0,100.0,95.0,95.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,
E15,74.0,55.0,50.0,5.0,27.0,0.0,15.0,27.0,27.0,23.0,22.0,28.0,15.0,100.0,55.0,100.0,20.0,0.0,15.0,145.84
E16,30.0,100.0,100.0,50.0,63.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,75.0,,100.0,100.0
E17,30.0,0.0,0.0,0.0,15.0,0.0,20.0,23.0,23.0,28.0,45.0,48.0,35.0,,0.0,100.0,10.0,0.0,20.0,
E18,14.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,98.0,98.0,90.0,90.0,90.0,,100.0,,100.0,,100.0,
E19,8.0,100.0,100.0,10.0,38.0,50.0,95.0,90.0,90.0,85.0,90.0,90.0,90.0,100.0,100.0,100.0,35.0,100.0,95.0,350.0
E20,7.0,100.0,100.0,87.5,66.0,100.0,100.0,88.0,90.0,90.0,87.0,88.0,55.0,100.0,100.0,100.0,95.0,100.0,100.0,134.17
E21,14.0,10.0,0.0,0.0,0.0,,,,,,,,,,10.0,,0.0,,,
E22,11.0,100.0,100.0,0.0,10.0,50.0,95.0,95.0,90.0,90.0,95.0,91.0,95.0,100.0,100.0,100.0,20.0,20.0,95.0,
E23,2.0,100.0,100.0,46.65,75.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,70.0,100.0,,65.0,0.0,50.0,55.0
E24,52.0,55.0,50.0,0.0,0.0,50.0,65.0,65.0,65.0,65.0,65.0,65.0,75.0,70.0,55.0,0.0,0.0,20.0,65.0,
E25,5.0,100.0,100.0,79.15,90.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,100.0,100.0,100.0,95.0,,60.0,100.0
E26,16.0,100.0,100.0,91.65,83.0,50.0,90.0,80.0,75.0,80.0,80.0,73.0,55.0,100.0,100.0,100.0,80.0,100.0,90.0,250.0
E27,12.0,10.0,0.0,0.0,0.0,,,,,,,,,,10.0,,0.0,,,
E28,39.0,60.0,50.0,0.0,30.0,0.0,10.0,10.0,10.0,10.0,10.0,20.0,13.0,100.0,60.0,100.0,10.0,0.0,70.0,
E29,13.0,100.0,100.0,0.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,20.0,100.0,
E30,41.0,50.0,50.0,0.0,30.0,50.0,80.0,88.0,81.0,83.0,46.0,76.0,75.0,100.0,50.0,100.0,10.0,0.0,80.0,
E31,4.0,100.0,100.0,100.0,78.0,100.0,100.0,95.0,95.0,95.0,93.0,94.0,93.0,100.0,100.0,100.0,100.0,20.0,100.0,0.0
E32,20.0,100.0,100.0,50.0,40.0,50.0,70.0,75.0,75.0,62.0,55.0,65.0,60.0,100.0,100.0,100.0,55.0,100.0,70.0,100.0
E33,75.0,45.0,35.0,0.0,14.0,50.0,55.0,50.0,50.0,50.0,50.0,50.0,46.0,100.0,45.0,100.0,5.0,0.0,55.0,200.0
E34,21.0,55.0,50.0,0.0,15.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,40.0,55.0,,10.0,0.0,55.0,29.17
E35,19.0,100.0,100.0,0.0,18.0,50.0,55.0,50.0,50.0,50.0,50.0,50.0,45.0,100.0,100.0,,15.0,0.0,55.0,0.0
E36,24.0,100.0,100.0,,,0.0,30.0,35.0,45.0,35.0,40.0,35.0,25.0,,100.0,,,10.0,30.0,50.0
E37,6.0,35.0,0.0,0.0,65.0,50.0,0.0,5.0,5.0,5.0,5.0,3.0,10.0,,35.0,100.0,45.0,,0.0,
E38,9.0,100.0,100.0,50.0,59.0,50.0,100.0,93.0,93.0,93.0,84.0,89.0,63.0,100.0,100.0,100.0,65.0,100.0,100.0,229.17
E39,48.0,45.0,25.0,0.0,11.0,0.0,30.0,40.0,40.0,35.0,40.0,55.0,44.0,0.0,45.0,100.0,15.0,,30.0,204.17
E40,12.0,100.0,100.0,0.0,27.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,100.0,100.0,
E41,9.0,100.0,100.0,4.15,20.0,0.0,50.0,50.0,55.0,55.0,66.0,58.0,28.0,0.0,100.0,,20.0,0.0,50.0,150.0
